Kaylee McKeown, swimming, women's 100m backstroke
Australia, swimming, women's 4x100m freestyle relay
Australia, swimming, women's 4x100m medley relay
Ariarne Titmus, swimming, 400m freestyle
Ariarne Titmus, swimming, women's 200m freestyle
Australia, rowing, men's four
Australia, rowing, women's four
Jessica Fox, canoe slalom, women's canoe
Izaac Stubblety-Cook, swimming, men's 200m breaststroke
Emma McKeon, swimming, women's 100m freestyle
Kaylee McKeown, swimming, women's 200m backstroke
Logan Martin, BMX freestyle, men's park
Matt Wearn, sailing, men's one person dinghy - laser
Emma McKeon, swimming, 50m freestyle
Australia, sailing, men's two person dinghy
Keegan Palmer, skateboarding, men's park
Australia, canoe sprint, men's kayak double 1000m